NAMESPACE   NAME                  STATUS   VOLUME                                     CAPACITY   ACCESS MODES   STORAGECLASS   VOLUMEATTRIBUTESCLASS   AGE
orgdcms     fabric-ca-pvc         Bound    pvc-ffe649f7-ba76-4400-9f3f-2df96101ba28   2Gi        RWO            local-path     <unset>                 11d
orgdcms     fabric-tls-ca-pvc     Bound    pvc-5335d1e1-0953-4f99-8aaf-31b41b0ed1f2   2Gi        RWO            local-path     <unset>                 4d17h
orgdcms     orderer1-ledger-pvc   Bound    pvc-fadfe870-3720-49ca-9c9f-fc7d3533cc4d   5Gi        RWO            local-path     <unset>                 5d8h
orgdcms     orderer1-msp-pvc      Bound    pvc-bf17808a-8ce5-4b3a-9a98-869cea13cce0   1Gi        RWO            local-path     <unset>                 8d
orgdcms     orderer1-tls-pvc      Bound    pvc-153df1d9-01e5-4eca-affd-ddd5f3587a12   1Gi        RWO            local-path     <unset>                 3d21h
orgdcms     orderer2-ledger-pvc   Bound    pvc-88766881-806f-47e3-8720-0c63c158b4a2   5Gi        RWO            local-path     <unset>                 5d8h
orgdcms     orderer2-msp-pvc      Bound    pvc-35c2c28c-3a65-4ce7-9ac9-fa8ce880e403   1Gi        RWO            local-path     <unset>                 8d
orgdcms     orderer2-tls-pvc      Bound    pvc-7c233322-dbb3-4b6c-9276-c7f1858c356c   1Gi        RWO            local-path     <unset>                 3d11h
orgdcms     osnadmin-admin-pvc    Bound    pvc-f46c8877-a1e9-42fa-a975-83dd51d926b5   1Gi        RWO            local-path     <unset>                 45h
orgdcms     osnadmin-tls-pvc      Bound    pvc-815f5f42-8839-462a-b9dd-c80118122270   1Gi        RWO            local-path     <unset>                 46h
orgx        fabric-ca-pvc         Bound    pvc-e38b1a81-239d-45b8-988e-98ba2e70de74   2Gi        RWO            local-path     <unset>                 11d
orgx        fabric-tls-ca-pvc     Bound    pvc-6b701696-a1be-4ce9-ae38-0bca5ee31a8e   2Gi        RWO            local-path     <unset>                 11d
orgx        orderer3-ledger-pvc   Bound    pvc-b61fb62c-6097-459c-9123-8e39fea0a163   5Gi        RWO            local-path     <unset>                 5d8h
orgx        orderer3-msp-pvc      Bound    pvc-997fba4e-375c-49b5-a45b-85db76fb8358   1Gi        RWO            local-path     <unset>                 8d
orgx        orderer3-tls-pvc      Bound    pvc-6a7eaa16-bb24-4201-b63a-9058f69450b2   1Gi        RWO            local-path     <unset>                 3d11h
